variable,OR,IC95_low,IC95_high,p_value,signif
age,0.9685,0.9523,0.9849,0.0002,***
imc,0.9907,0.9435,1.0402,0.7059,ns
glycemie,0.1674,0.0358,0.7827,0.0231,*
temp_ext,0.9308,0.8659,1.0005,0.0516,ns
heure_injection_h,0.9905,0.8316,1.1798,0.915,ns
sexe_H,0.7861,0.421,1.4676,0.4499,ns
diabete_Oui,0.7216,0.1832,2.8423,0.6409,ns
chimio_recente_Oui,1.0917,0.502,2.3739,0.8248,ns
cancer_grp_reduced_Cutané/Sarcome,0.5387,0.1193,2.4338,0.4214,ns
cancer_grp_reduced_Digestif,0.6412,0.1481,2.776,0.5523,ns
cancer_grp_reduced_Gynécologique,1.3244,0.4397,3.9896,0.6175,ns
cancer_grp_reduced_Hématologique,1.4492,0.6619,3.1729,0.3534,ns
cancer_grp_reduced_ORL/Cavum,0.5434,0.126,2.3432,0.4134,ns
cancer_grp_reduced_Sein,1.6717,0.5891,4.7444,0.3343,ns
cancer_grp_reduced_Thoracique,0.2721,0.0299,2.4732,0.2477,ns
